Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-11-08 22:44:57,,UTC-05:00,2024-11-08 22:44:57,2024-11-09 06:25:44,66,14.1,408,454,162,95,151,46,616,127,92,86,false
2024-11-08 00:01:56,2024-11-08 22:44:57,UTC-05:00,2024-11-08 00:01:56,2024-11-08 05:56:39,52,14.0,329,354,137,79,113,25,636,127,96,86,false
2024-11-06 23:09:10,2024-11-08 00:01:56,UTC-05:00,2024-11-06 23:09:10,2024-11-07 06:16:32,62,14.5,398,425,158,79,161,27,638,127,96,87,false
2024-11-05 22:59:46,2024-11-06 23:09:10,UTC-05:00,2024-11-05 22:59:46,2024-11-06 05:56:59,61,13.9,388,417,158,78,152,29,632,127,94,83,false
2024-11-04 23:33:40,2024-11-05 22:59:46,UTC-05:00,2024-11-04 23:33:40,2024-11-05 06:18:52,64,14.5,381,402,133,98,150,21,600,127,98,81,false
2024-11-04 01:23:12,2024-11-04 23:33:40,UTC-05:00,2024-11-04 01:23:12,2024-11-04 06:44:17,45,14.7,293,321,104,66,123,28,654,127,94,64,false
2024-11-02 22:37:27,2024-11-04 01:23:12,UTC-05:00,2024-11-02 22:37:27,2024-11-03 06:27:03,68,13.9,434,469,154,94,186,35,635,127,95,82,false
2024-11-01 23:41:33,2024-11-02 23:37:27,UTC-04:00,2024-11-01 23:41:33,2024-11-02 07:59:18,58,14.4,373,399,182,69,122,26,645,127,96,74,false
2024-11-01 00:10:15,2024-11-01 23:41:33,UTC-04:00,2024-11-01 00:10:15,2024-11-01 06:53:32,59,15.1,381,403,222,51,108,22,651,127,94,74,false
2024-10-30 23:25:26,2024-11-01 00:10:15,UTC-04:00,2024-10-30 23:25:26,2024-10-31 05:57:27,55,14.4,350,391,156,69,125,41,639,126,92,84,false
2024-10-29 22:14:51,2024-10-30 23:25:26,UTC-04:00,2024-10-29 22:14:51,2024-10-30 05:55:49,61,14.4,397,460,208,60,129,63,650,127,89,74,false
